Chapter / Section,Header,Target Platform
1. Product Contract,,general
,1.1 Locked Product Decisions,general
,1.2 Definition of Done,general
2. Architecture Overview,,general
,2.1 Components,general
,2.2 Data Responsibilities,general
3. Songs and Library,,general
,3.1 Storage Access,phone
,3.1.1 Scan implementation,phone
,3.1.1.1 Android (SAF — Kotlin),android
,3.1.1.2 iOS (security-scoped bookmarks — Swift),ios
,3.1.2 Song file delivery,phone
,3.1.3 TV-Side Library and Lifecycle,tv
,3.2 Discovery and Validation Rules,general
,3.3 Index Fields (Functional),tv
,3.4 Song List (Landing Screen) - TV,tv
4. USDX TXT Format Support,,general
,4.1 Supported Note Tokens,general
,4.2 Supported Header Tags and Semantics,general
,4.3 Error Handling,general
,4.4 Header Tags Reference,general
,4.5 Body Token Reference,general
5. Timing and Beat Model,,general
,5.1 Authoritative Beat Definitions,tv
,"5.2 Pitch Frame Timing, Jitter, and Mic Delay",general
,5.2.1 Pitch frame rate and missing frames,phone
,5.2.2 Pitch-frame timestamps in TV time,tv
,5.2.3 TV jitter buffer and scoring sample selection,tv
,5.2.4 Effective mic delay (manual),tv
,5.2.5 Mic Capture and FFT-YIN Pitch Detection,phone
,5.2.5.1 Primitive Memory Management (Normative),phone
,5.2.5.2 Algorithm Pipeline (Normative),phone
,5.2.5.3 Consolidated Sensitivity Table,phone
,5.3 Beat-Time Conversion (TV/Host),tv
,5.4 START/END,tv
6. Scoring,,tv
,6.1 Scoring Overview,tv
,6.2 Note Types,tv
,6.2.1 ScoreFactor constants,tv
,6.3 Player Level / Tolerance,tv
,6.4 Octave Normalization,tv
,6.5 Line Bonus,tv
,6.6 Rounding and Display,tv
7. Multiplayer & Session Lifecycle,,general
,7.1 Session States,tv
,7.2 Pairing UX (TV),tv
,7.3 Pairing UX (Phone),phone
,7.4 Disconnect/Reconnect,general
8. Network Protocol,,general
,8.1 Transport Channels (Common),general
,8.2 Session Discovery,general
,8.2.1 Service Advertisement — Android TV,tv
,8.2.2 Service Discovery — Phone (Android & iOS),phone
,8.3 Control Messages,general
,8.4 Versioning & Compatibility (Common),general
,8.5 Sender Identification,general
,8.5.1 connectionId Assignment — TV,tv
,8.5.2 connectionId Usage — Phone,phone
,8.5.3 Datagram Validation — TV,tv
,8.6 Pitch Stream,general
,8.6.1 Wire Format (Common),general
,8.6.2 Frame Generation & Transmission (Phone),phone
,8.6.3 Frame Ingestion & Validation (TV),tv
,8.7 Song File Delivery,general
,8.7.1 URL Scheme (Common),general
,8.7.2 HTTP File Server — Android Phone,android
,8.7.3 HTTP File Server — iOS Phone,ios
,8.7.4 Asset Consumption — TV,tv
,8.7.5 Platform Configuration,general
,8.8 Clock Sync,general
,8.8.1 Clock Model & Sync Schedule (Common),general
,8.8.2 Message Flow (Common),general
,8.8.3 Per-Sample Computation — Phone,phone
9. UI Screens and Flows,,tv
(All 9.x sub-sections),9.1 through 9.6 (Post-medley results),tv
Appendix A,Library Dependency Reference,general
,A.1 Android TV Host App (Kotlin),tv
,A.2 Android Companion App (Kotlin),android
,A.3 iOS Companion App (Swift),ios
,A.4 Prohibited Patterns,general
Appendix B,Protocol Schemas,general
Appendix C,Parsed Song Model,tv
Appendix D,Fixture Types & Testing Policy,general
Appendix E,Worked Examples,general